City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
86,Mataura,-46.1927,168.8643,58.48,43,12,0.4,few clouds
87,Palestine,31.9216,35.2033,63.82,87,3,6.96,clear sky
88,Viseu,40.661,-7.9097,60.73,86,0,1.1,clear sky
89,Tuktoyaktuk,69.4541,-133.0374,39.2,93,75,13.8,broken clouds
90,Isangel,-19.55,169.2667,79.68,73,8,8.88,clear sky
91,Mahanoro,-19.9,48.8,67.03,90,94,2.06,light rain
92,Lata,40.1629,-8.3327,63.91,89,0,1.32,clear sky
93,Corbu,44.3833,28.65,49.32,82,0,8.05,light rain
94,East London,-33.0153,27.9116,59.47,67,0,5.86,clear sky
95,Yerbogachen,61.2767,108.0108,34.27,87,100,8.48,overcast clouds
96,Qaanaaq,77.484,-69.3632,25.18,66,94,7.85,overcast clouds
97,Avarua,-21.2078,-159.775,75.25,78,75,14.97,broken clouds
98,Paamiut,61.994,-49.6678,45.12,75,100,19.84,overcast clouds
99,Vila Velha,-20.3297,-40.2925,76.95,84,0,12.66,clear sky
100,Shimoda,34.6667,138.95,70.16,67,86,22.55,overcast clouds
101,Sao Jose Da Coroa Grande,-8.8978,-35.1478,74.95,85,25,8.5,scattered clouds
102,Cayenne,4.9333,-52.3333,75.24,94,0,2.3,clear sky
103,Suining,30.508,105.5733,67.14,90,100,4.27,overcast clouds
104,Los Llanos De Aridane,28.6585,-17.9182,69.55,83,0,9.22,clear sky
105,Saldanha,-33.0117,17.9442,42.85,83,10,5.84,clear sky
106,Fort Nelson,58.8053,-122.7002,63.99,63,40,2.3,scattered clouds
107,Biak,-0.9131,122.8766,79.0,79,100,1.12,overcast clouds
108,Cherskiy,68.75,161.3,47.5,47,3,6.42,clear sky
109,Mahebourg,-20.4081,57.7,71.26,88,75,11.5,broken clouds
110,Hiriyur,13.9456,76.6192,69.75,83,100,11.32,overcast clouds
111,Pangkalanbuun,-2.6833,111.6167,83.23,74,100,3.4,overcast clouds
112,Narsaq,60.9167,-46.05,41.22,61,99,3.4,overcast clouds
113,Huacho,-11.1067,-77.605,61.29,86,94,9.86,overcast clouds
114,Novobelokatay,55.7062,58.9549,58.6,57,100,2.91,overcast clouds
115,Thompson,55.7435,-97.8558,39.36,93,75,0.0,broken clouds
116,Ullapool,57.8987,-5.1604,57.34,94,100,12.53,light rain
117,Saint Anthony,45.0205,-93.218,58.66,74,0,12.66,clear sky
118,Barrow,71.2906,-156.7887,39.22,81,100,6.91,overcast clouds
119,Vanavara,60.34,102.2797,33.71,96,100,11.07,snow
120,Rafai,4.95,23.9167,68.18,99,82,1.52,broken clouds
121,Merauke,-8.4667,140.3333,83.08,76,89,9.71,overcast clouds
122,Saint Pete Beach,27.7253,-82.7412,83.01,66,0,14.97,clear sky
123,San Vicente,-26.6167,-54.1333,55.71,98,31,1.99,scattered clouds
124,Krupka,50.6845,13.8582,48.15,93,100,8.01,overcast clouds
125,Chernyshevskiy,63.0128,112.4714,30.38,59,100,4.27,overcast clouds
126,Kenai,60.5544,-151.2583,54.14,67,0,10.36,clear sky
127,Saint-Philippe,-21.3585,55.7679,65.79,78,50,12.1,scattered clouds
128,Victoria,22.2855,114.1577,88.25,71,46,10.0,scattered clouds
129,Sulangan,11.1373,123.7228,83.35,72,100,5.97,overcast clouds
130,Circleville,39.6006,-82.946,78.89,57,0,6.91,clear sky
131,Sao Lourenco Do Oeste,-26.3592,-52.8511,57.61,98,90,2.75,overcast clouds
132,Santa Cruz Cabralia,-16.2781,-39.0247,73.63,88,0,6.91,clear sky
133,Puerto Ayora,-0.7393,-90.3518,67.55,92,52,8.01,broken clouds
134,Dwarka,22.2394,68.9678,79.83,73,52,10.18,broken clouds
135,Ixtapa,20.7,-105.2,77.23,94,100,0.0,overcast clouds
136,Camopi,3.1655,-52.3158,74.46,87,4,4.05,clear sky
137,Lavrentiya,65.5833,-171.0,40.71,97,100,25.81,moderate rain
138,Baykit,61.67,96.37,37.38,99,100,3.24,overcast clouds
139,Kudahuvadhoo,2.6708,72.8944,82.06,70,11,6.76,few clouds
140,Airai,-8.9266,125.4092,78.84,36,52,5.26,broken clouds
141,Bethel,41.3712,-73.414,69.89,83,0,4.61,clear sky
142,Hit,33.6416,42.8251,78.93,34,92,9.75,light rain
143,Lebu,-37.6167,-73.65,48.09,83,99,6.29,overcast clouds
144,Ordzhonikidze,52.4411,61.7408,58.5,21,15,0.76,few clouds
145,Talnakh,69.4865,88.3972,36.21,97,100,13.8,light rain
146,Cidreira,-30.1811,-50.2056,60.19,95,100,6.08,overcast clouds
147,Kruisfontein,-34.0033,24.7314,58.46,41,55,7.76,broken clouds
148,Auki,-8.7676,160.7034,83.16,68,49,2.57,scattered clouds
149,Port Hedland,-20.3167,118.5667,89.65,15,0,5.75,clear sky
150,Matara,5.9485,80.5353,79.83,81,44,9.28,scattered clouds
151,Anadyr,64.75,177.4833,43.3,93,100,2.24,light rain
152,Shenkursk,62.1091,42.896,37.4,97,15,2.59,few clouds
153,Bandarbeyla,9.4942,50.8122,77.59,81,33,19.75,scattered clouds
154,Boende,-0.2167,20.8667,67.51,98,100,1.5,overcast clouds
